"","ObjID","feature","Indiv","GE","box","form_vessel","Pos","Verz","Notiz","site"
"143",358,"07/3","-1:125<U+0096>130","3-7","C3-2","1a","3 Oberteil","1 a","","03_Burials_Church"
"144",358,"07/3","-1:125<U+0096>130","3-7","C3-2","1a","2 Rand","1 a","","03_Burials_Church"
"145",358,"07/3","-1:125<U+0096>130","3-7","C3-2","1a","7 Unterteil","5 a","","03_Burials_Church"
"146",358,"07/3","-1:125<U+0096>130","3-7","C3-2","1a","2 Rand","7 b","","03_Burials_Church"
"147",360,"07/3","-1:200<U+0096>236","3-11","C3-1","1a","3 Oberteil","2","","03_Burials_Church"
"148",360,"07/3","-1:200<U+0096>236","3-11","C3-1","1a","2 Rand","1 a","","03_Burials_Church"
"149",360,"07/3","-1:200<U+0096>236","3-11","C3-1","1a","3 Oberteil","1 a","","03_Burials_Church"
"150",362,"07/3","-1:307<U+0096>327","3-2","C3-1","1a","3 Oberteil","2","","03_Burials_Church"
"151",362,"07/3","-1:307<U+0096>327","3-2","C3-1","1a","3 Oberteil","1 a","","03_Burials_Church"
"152",362,"07/3","-1:307<U+0096>327","3-2","C3-1","1a","7 Unterteil","5 a","","03_Burials_Church"
"153",363,"07/3","-1:45<U+0096>53","3-13","C3-2","1a","2 Rand","2","","03_Burials_Church"
"154",363,"07/3","-1:45<U+0096>53","3-13","C3-2","1a","3 Oberteil","4","","03_Burials_Church"
"155",363,"07/3","-1:45<U+0096>53","3-13","C3-2","1a","2 Rand","1 a","","03_Burials_Church"
"156",363,"07/3","-1:45<U+0096>53","3-13","C3-2","1a","3 Oberteil","1 a","","03_Burials_Church"
"157",363,"07/3","-1:45<U+0096>53","3-13","C3-2","1a","3 Oberteil","1 b","","03_Burials_Church"
"158",363,"07/3","-1:45<U+0096>53","3-13","C3-2","1a","2 Rand","1 b","","03_Burials_Church"
"159",363,"07/3","-1:45<U+0096>53","3-13","C3-2","1a","7 Unterteil","5 a","","03_Burials_Church"
"160",365,"07/3","-1:1","3-12","C3-1","1a","3 Oberteil","2","","03_Burials_Church"
"161",365,"07/3","-1:1","3-12","C3-1","1a","3 Oberteil","16","2","03_Burials_Church"
"162",365,"07/3","-1:1","3-12","C3-1","1a","2 Rand","1 a","","03_Burials_Church"
"163",365,"07/3","-1:1","3-12","C3-1","1a","3 Oberteil","1 a","2 Löcher/15mm Bereich mit Kreuzmuster/darunter horizontale Rillen","03_Burials_Church"
"164",365,"07/3","-1:1","3-12","C3-1","1a","7 Unterteil","5 a","","03_Burials_Church"
"165",430,"07/3","-1:336","3-10","C3-1","1a","3 Oberteil","4","","03_Burials_Church"
"166",430,"07/3","-1:336","3-10","C3-1","1a","3 Oberteil","16","2","03_Burials_Church"
"167",430,"07/3","-1:336","3-10","C3-1","1a","2 Rand","1 a","horizontale Rillen","03_Burials_Church"
"168",430,"07/3","-1:336","3-10","C3-1","1a","3 Oberteil","1 a","2 Löcher/15mm Bereich mit Kammeindruck + Zick-zack Ritzlinien/horizontale Rillen/unterbrochen von vertiaklem Kammeindrücken","03_Burials_Church"
"169",430,"07/3","-1:336","3-10","C3-1","1a","2 Rand","10 a","","03_Burials_Church"
"170",430,"07/3","-1:336","3-10","C3-1","1a","3 Oberteil","7 a","","03_Burials_Church"
"171",430,"07/3","-1:336","3-10","C3-1","1a","3 Oberteil","7 a","","03_Burials_Church"
"172",452,"07/4","-1:1<U+0096>25","4-1","C4","1a","2 Rand","2","","03_Burials_Church"
"173",452,"07/4","-1:1<U+0096>25","4-1","C4","1a","3 Oberteil","2","7 Rillen/mit kl Einstichen (Fischgräte)/20mm Kreuzmuster","03_Burials_Church"
"174",452,"07/4","-1:1<U+0096>25","4-1","C4","1a","2 Rand","4","2 Rillen/20mm Kreuzmuster/von vertikalem Kammeindruck unterbrochen","03_Burials_Church"
"175",452,"07/4","-1:1<U+0096>25","4-1","C4","1a","2 Rand","1 a","","03_Burials_Church"
"176",452,"07/4","-1:1<U+0096>25","4-1","C4","1a","3 Oberteil","1 a","7","03_Burials_Church"
"177",452,"07/4","-1:1<U+0096>25","4-1","C4","1a","3 Oberteil","10 b","","03_Burials_Church"
"178",452,"07/4","-1:1<U+0096>25","4-1","C4","1a","7 Unterteil","5 b","","03_Burials_Church"
"179",454,"07/5","-1:1<U+0096>13 -2:1<U+0096>2","5-1","C5","1a","3 Oberteil","2","","03_Burials_Church"
"180",454,"07/5","-1:1<U+0096>13 -2:1<U+0096>2","5-1","C5","1a","2 Rand","1 a","","03_Burials_Church"
"181",454,"07/5","-1:1<U+0096>13 -2:1<U+0096>2","5-1","C5","1a","3 Oberteil","1 a","horizontale Rillen","03_Burials_Church"
"182",455,"07/5","-1:14<U+0096>23 -2:4<U+0096>9","5-2","C5","1a","2 Rand","1 a","","03_Burials_Church"
"183",455,"07/5","-1:14<U+0096>23 -2:4<U+0096>9","5-2","C5","1a","3 Oberteil","1 a","","03_Burials_Church"
"184",462,"07/5","-2:11<U+0096>34","5-3","C5","1a","3 Oberteil","2","","03_Burials_Church"
"185",462,"07/5","-2:11<U+0096>34","5-3","C5","1a","2 Rand","1 a","","03_Burials_Church"
"186",462,"07/5","-2:11<U+0096>34","5-3","C5","1a","3 Oberteil","1 a","10 horizontale Rillen/darunter 20mm breiter Streifen mit Kreuzmuster","03_Burials_Church"
"187",462,"07/5","-2:11<U+0096>34","5-3","C5","1a","7 Unterteil","5 a","diagonale Ritzlinien ca. 30mm Abstand","03_Burials_Church"
"188",476,"07/6","-1:28,42<U+0096>45 -2:164<U+0096>165,173<U+0096>184","6-5","C6","1a","3 Oberteil","2","","03_Burials_Church"
"189",476,"07/6","-1:28,42<U+0096>45 -2:164<U+0096>165,173<U+0096>184","6-5","C6","1a","3 Oberteil","1 a","","03_Burials_Church"
